user_id,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms),1,3,4
83,758.32914,2934.23,231.69,1.25,7256.13,1638,3280.88,33,0,0,0
84,312.46178,1723.96,75.5,1.11,11276.55,879,1947.06,66,0,0,0
85,683.1931,268.66,64.92,2.29,881.19,2796,378.31,403,0,0,0
86,520.899,886.86,157.48,2.05,4303.92,3198,613.15,303,1,1,1
87,429.77113,14457.02,227.59,0.17,29670.67,848,2934.0,50,0,0,0
88,494.39228,1825.28,151.14,0.19,7780.82,1531,2164.29,144,0,0,0
89,378.86336,737.17,89.83,0.97,3447.13,1791,1362.94,108,0,0,0
90,328.29042,145.24,44.65,0.87,5366.77,1210,3701.29,112,0,0,0
91,568.15257,1160.22,401.55,1.11,3430.35,1504,959.45,206,1,1,1
92,707.25802,1108.48,88.55,0.72,11130.4,1130,12260.16,122,0,0,0
93,149.22243,362.09,81.94,2.62,2042.45,3440,1307.12,184,0,0,0
94,670.49166,427.31,76.26,1.21,1510.16,2714,751.69,352,0,1,0
95,105.05401,4100.28,42.51,2.35,4791.56,805,91.71,161,0,0,0
96,773.77841,4320.8,223.72,0.48,6181.48,1351,2124.43,66,0,0,0
97,270.98107,7728.4,87.67,0.15,17973.09,759,865.94,54,0,0,0
98,274.47638,225.48,21.42,3.29,1275.88,3046,660.48,198,0,0,0
99,698.15865,2114.86,139.82,1.46,4000.41,1699,1070.51,228,0,1,1
100,628.8503,251.42,37.66,3.56,768.22,3642,379.34,986,0,0,0
101,358.053,344.39,48.94,2.14,955.78,1955,1026.2,392,0,0,0
102,530.77703,4973.39,104.63,0.88,4236.16,1261,2012.46,349,0,1,0
103,376.50973,2837.56,252.9,0.82,4480.8,2029,1359.37,94,0,0,0
104,321.4876,4638.15,249.83,0.33,5814.44,1512,2398.78,71,1,1,1
105,135.20952,7049.08,152.42,2.16,10162.03,6581,3921.23,92,0,0,0
106,570.85534,1626.01,195.62,0.34,5617.03,1570,2327.63,123,1,0,0
107,434.32969,2911.12,234.24,0.7,4479.21,1651,2839.93,77,0,0,0
108,127.24798,2648.4,372.55,0.59,11380.07,995,937.6,81,0,0,0
109,154.62359,695.76,140.62,3.82,8100.52,1288,2157.63,45,0,0,0
110,198.71895,406.73,87.73,2.57,12791.05,1700,1353.73,118,0,0,0
111,411.54243,1843.44,116.53,1.18,8687.95,1570,2943.98,36,0,0,0
112,219.43507,2977.72,69.86,0.54,12977.01,916,2019.76,72,1,0,0
113,836.22982,4014.24,157.21,2.21,7509.01,1269,1973.01,89,0,1,0
114,722.49427,1966.98,73.95,0.76,2948.67,2283,2408.96,105,1,1,1
115,107.51175,299.29,80.37,1.55,497.75,1651,448.37,205,0,0,0
